======== Profiling result:
   Start  Duration  Name
1.92729s  7.1230us  cudaMemcpyAsync
1.93414s  3.6620us  cudaMallocAsync
1.93414s  2.2360us  cudaMallocAsync
1.93415s  2.3220us  cudaMallocAsync
1.93415s  8.0960us  cudaMemcpyAsync
1.93416s  5.9310us  cudaMemcpyAsync
1.93416s  10.834us  cudaLaunchKernel (vector_add_kernel(float const *, float const *, float*, int) [304])
1.93417s  7.3940us  cudaMemcpyAsync
1.94094s  786.41us  cudaMallocAsync
1.94173s  3.2480us  cudaMallocAsync
1.94173s  2.4340us  cudaMallocAsync
1.94174s  8.5460us  cudaMemcpyAsync
1.94175s  6.0270us  cudaMemcpyAsync
1.94175s  10.775us  cudaLaunchKernel (vector_add_kernel(float const *, float const *, float*, int) [311])
1.94176s  7.5070us  cudaMemcpyAsync
1.94814s  3.2260us  cudaMallocAsync
1.94814s  2.3540us  cudaMallocAsync
1.94814s  2.2520us  cudaMallocAsync
1.94815s  7.2630us  cudaMemcpyAsync
1.94815s  5.9590us  cudaMemcpyAsync
1.94816s  9.9840us  cudaLaunchKernel (vector_add_kernel(float const *, float const *, float*, int) [318])
1.94817s  7.1230us  cudaMemcpyAsync
1.95477s  3.3380us  cudaMallocAsync
1.95477s  2.2500us  cudaMallocAsync
1.95478s  762.09us  cudaMallocAsync
1.95554s  8.9390us  cudaMemcpyAsync
1.95555s  6.1270us  cudaMemcpyAsync
1.95555s  11.235us  cudaLaunchKernel (vector_add_kernel(float const *, float const *, float*, int) [325])
1.95557s  7.9330us  cudaMemcpyAsync
1.96389s  3.6870us  cudaMallocAsync
1.96389s  2.3570us  cudaMallocAsync
1.96390s  2.6520us  cudaMallocAsync
1.96390s  7.6560us  cudaMemcpyAsync
1.96391s  5.7380us  cudaMemcpyAsync
1.96391s  11.242us  cudaLaunchKernel (vector_add_kernel(float const *, float const *, float*, int) [332])
1.96392s  7.6310us  cudaMemcpyAsync
1.96394s  239.14us  cudaDeviceSynchronize
1.96421s  140.77ms  cudaFreeHost
2.17914s  1.0250us  cuCtxGetCurrent
2.17914s     629ns  cuCtxGetDevice
2.17914s     560ns  cuDevicePrimaryCtxGetState
2.17915s     322ns  cuCtxGetCurrent
2.17915s     268ns  cuCtxGetDevice
2.17915s     275ns  cuDevicePrimaryCtxGetState
